Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Crocin DS,Prescription,Tablet,750 mg,Mankind,Fever,Anticoagulant
Furosemide 600,Prescription,Ointment,600 IU,Sanofi,Blood pressure,Antibiotic
Levosalbutamol XR 904,Prescription,Ointment,750 mg,Sanofi,Cold & Cough,Antihistamine
Metronidazole 400 SR,Prescription,Capsule,400 IU,Bayer,Fever,Antihypertensive
Amikacin 450,Prescription,Ointment,450 mg,Abbott,Immunity booster,Antidiabetic
Pantoprazole DS,OTC,Tablet,1000 mg,Torrent,Skin infection,Antibiotic
Enalapril 1000 Plus,OTC,Drops,1000 mg,Intas,Cold & Cough,Anticoagulant
Levocetirizine 100 XR,OTC,Cream,100 mg,Alkem,Heartburn,Diuretic
Naproxen,Prescription,Drops,2%,Aurobindo,Edema,Analgesic
Rosuvastatin 250 911,Prescription,Injection,75 mg,Pfizer,Depression,Antibiotic
Naproxen 450 1000 912,OTC,Drops,450 mg,Abbott,Pain relief,Antacid
Valsartan 400 250,OTC,Syrup,400 mg,Lupin,Inflammation,Corticosteroid
Ibuprofen Forte 914,OTC,Capsule,1%,Dr. Reddy's,Vitamin deficiency,Antacid
Metformin XR 915,Prescription,Ointment,650 mg,Alkem,Immunity booster,Antibiotic
Furosemide Forte,OTC,Tablet,0.50%,Cipla Ltd,Cold & Cough,Antidiabetic
Erythromycin 125 XR,OTC,Tablet,125 mg,Sanofi,Vitamin deficiency,Antiprotozoal
Ramipril XR,Prescription,Tablet,400 IU,Alembic,Cold & Cough,Antidepressant
Vitamin C 75 XR,Prescription,Ointment,75 mg,Sanofi,Skin infection,Antibiotic
Montelukast 50 250,Prescription,Ointment,50 mg,Pfizer,Cold & Cough,Anticoagulant
Amlodipine 50 DS,Prescription,Cream,50 mg,Torrent,Diabetes,Antibiotic
Paracetamol 50,OTC,Drops,250 mg,Novartis,Depression,Antihistamine
Hydrocortisone 750 500,OTC,Ointment,750 mg,Sun Pharma,Pain relief,Antihyperlipidemic
Combiflam 450 50,OTC,Capsule,450 mg,Merck,Anxiety,Anticoagulant
Levofloxacin 50 Plus,OTC,Tablet,50 mg,Abbott,Bacterial infection,Diuretic
Bisoprolol 2000 1000,OTC,Drops,2000 IU,Torrent,Infection,Antihistamine
Ranitidine 750 500,Prescription,Ointment,750 mg,Intas,Inflammation,Antihistamine
Montelukast 200 Plus,OTC,Injection,200 mg,Abbott,Fever,Antidepressant
Dolo 250 Forte,Prescription,Ointment,250 mg,Sanofi,Heartburn,Supplement
Levocetirizine 100,OTC,Capsule,100 mg,Alembic,Edema,Antihypertensive
Salbutamol 1000 50 931,OTC,Capsule,1000 IU,Torrent,Anxiety,Antihyperlipidemic
Dolo Plus 932,OTC,Capsule,400 mg,Torrent,Fever,Antihyperlipidemic
Bisoprolol Plus,OTC,Injection,400 IU,Zydus,Vitamin deficiency,Antiprotozoal
Ciprofloxacin Plus 934,OTC,Cream,450 mg,Cipla Ltd,Throat infection,Antiprotozoal
Cefuroxime XR 935,OTC,Cream,150 mg,Sanofi,Respiratory infection,Antihistamine
Hydralazine 250,OTC,Ointment,0.50%,Aurobindo,Anxiety,Corticosteroid
Pantoprazole DS 937,Prescription,Capsule,325 mg,Lupin,Clot prevention,Corticosteroid
Ofloxacin 50,Prescription,Injection,500 mg,Novartis,Edema,Antihyperlipidemic
Doxycycline DS,Prescription,Injection,1000 mg,Alkem,Inflammation,Supplement
Salbutamol 250 50,OTC,Injection,250 mg,Abbott,Skin infection,Antihypertensive
Combiflam 60000 250,Prescription,Syrup,60000 IU,Aurobindo,Infection,Antihyperlipidemic
Erythromycin 450 XR,OTC,Injection,450 mg,Novartis,Cold & Cough,Antihistamine
Vitamin C 650 500,Prescription,Syrup,650 mg,Alkem,Skin infection,Analgesic
Levocetirizine 100 500,OTC,Syrup,100 mg,Novartis,Bacterial infection,Antiplatelet
Cefixime 600 XR,OTC,Syrup,600 IU,Sun Pharma,Blood pressure,Antihypertensive
Levofloxacin 325 Forte,Prescription,Capsule,325 mg,Cipla Ltd,Hypertension,Diuretic
Erythromycin 1000,Prescription,Ointment,400 IU,GlaxoSmithKline,Skin infection,Supplement
Metoprolol 50 50,OTC,Ointment,50 mg,Sanofi,Immunity booster,Antihypertensive
Loratadine Forte,Prescription,Syrup,750 mg,Lupin,Vitamin deficiency,Diuretic
Ranitidine 650 250,Prescription,Ointment,650 mg,Aurobindo,Fever,Antihistamine
Omeprazole 50 951,OTC,Injection,1000 IU,GlaxoSmithKline,Vitamin deficiency,Antihypertensive
Hydrocortisone 250 952,Prescription,Syrup,500 mg,Intas,Fever,Anticoagulant
Levosalbutamol 953,Prescription,Cream,0.50%,Cipla Ltd,Cold & Cough,Anticoagulant
Enalapril 250,OTC,Cream,0.50%,Sanofi,Heartburn,Antidiabetic
Amlodipine DS,Prescription,Tablet,750 mg,Dr. Reddy's,Diabetes,Antidepressant
Fluoxetine 1000 SR,OTC,Tablet,1000 mg,Sanofi,Anxiety,Antihypertensive
Dolo 100 Plus,Prescription,Cream,100 mg,Cipla,Allergy,Antihistamine
Enalapril 125 250,Prescription,Injection,125 mg,Lupin,Skin infection,Antiprotozoal
Enalapril 250 Forte,Prescription,Capsule,250 mg,Cipla Ltd,Inflammation,Antacid
Omnacortil 750 Forte,OTC,Capsule,750 mg,Bayer,Infection,Diuretic
Prednisolone 60000 50,Prescription,Injection,60000 IU,Bayer,Inflammation,Analgesic
Amikacin 750 XR,Prescription,Injection,750 mg,Cipla Ltd,Allergy,Supplement
Crocin 2000 SR,OTC,Drops,2000 IU,Intas,Diabetes,Supplement
Diclofenac 200,Prescription,Drops,200 mg,Lupin,Heartburn,Antiprotozoal
Aspirin 2% 250,Prescription,Tablet,2%,Zydus,Bacterial infection,Corticosteroid
Gentamicin 200 DS,OTC,Injection,200 mg,Cipla,Infection,Antidepressant
Diclofenac 500,Prescription,Tablet,500 mg,Cipla,Depression,Antibiotic
Cefuroxime 750 SR,OTC,Tablet,750 mg,Aurobindo,Immunity booster,Anxiolytic
Rosuvastatin 500,OTC,Ointment,325 mg,Cipla,Cold & Cough,Antibiotic
Levocetirizine 500 Plus,OTC,Drops,500 mg,Alkem,Hypertension,Antidiabetic
Clarithromycin SR 971,OTC,Injection,75 mg,Sun Pharma,Bacterial infection,Antidepressant
Ofloxacin 375 XR 972,OTC,Tablet,375 mg,Sanofi,Heartburn,Antiprotozoal
Crocin 600 DS,Prescription,Tablet,600 IU,Cipla,Vitamin deficiency,Diuretic
Ranitidine XR 974,OTC,Drops,125 mg,Dr. Reddy's,Pain relief,Supplement
Warfarin 1000 XR,OTC,Cream,1000 IU,Torrent,Blood pressure,Supplement
Rosuvastatin 250 250,Prescription,Capsule,250 mg,Cipla,Skin infection,Antidepressant
Doxycycline 750,Prescription,Drops,750 mg,Cipla Ltd,Respiratory infection,Analgesic
Metformin Forte,OTC,Drops,1000 mg,Aurobindo,Inflammation,Antihyperlipidemic
Zincovit XR,OTC,Syrup,500 mg,Dr. Reddy's,Vitamin deficiency,Diuretic
Ofloxacin 500 980,Prescription,Injection,50 mg,Novartis,Immunity booster,Antiplatelet
Omnacortil 125,Prescription,Ointment,125 mg,Abbott,Cold & Cough,Antibiotic
Azithromycin 375 SR,Prescription,Capsule,375 mg,Sun Pharma,Immunity booster,Antiprotozoal
Loratadine 50,Prescription,Capsule,1%,Alkem,Vitamin deficiency,Antidepressant
Levosalbutamol 984,Prescription,Ointment,650 mg,Cipla,Immunity booster,Diuretic
Loratadine 250 DS,OTC,Ointment,250 mg,Abbott,Cold & Cough,Diuretic
Metronidazole 1000 986,OTC,Ointment,750 mg,Merck,Infection,Antihypertensive
Azithromycin 0.5% SR,OTC,Capsule,0.50%,Novartis,Infection,Supplement
Loratadine 250 500,OTC,Cream,250 mg,Abbott,Anxiety,Antacid
Diazepam 0.5% 500,Prescription,Tablet,0.50%,GlaxoSmithKline,Skin infection,Supplement
Cetirizine 500,Prescription,Tablet,650 mg,Sanofi,Throat infection,Diuretic
Atorvastatin 150 Plus,OTC,Syrup,150 mg,Sanofi,Edema,Antacid
B Complex 1000 Plus,OTC,Drops,1000 mg,Merck,Heartburn,Antihyperlipidemic
Valsartan 450 Forte,Prescription,Injection,450 mg,GlaxoSmithKline,Skin infection,Antidiabetic
Combiflam 50 994,OTC,Injection,75 mg,Intas,Allergy,Antihypertensive
Erythromycin 2% 250,Prescription,Drops,2%,GlaxoSmithKline,Pain relief,Antidepressant
Metronidazole 300 250,Prescription,Drops,300 mg,Cipla,Hypertension,Antacid
Hydralazine 0.5% 500,OTC,Tablet,0.50%,Zydus,Infection,Antidepressant
Cefuroxime 100 250,OTC,Injection,100 mg,Dr. Reddy's,Throat infection,Antacid
Diclofenac 500 Plus,Prescription,Ointment,500 mg,Lupin,Diabetes,Antidepressant
Diazepam DS 1000,Prescription,Drops,1000 IU,Alembic,Fever,Antihyperlipidemic
Metoprolol 500 1001,Prescription,Cream,100 mg,Pfizer,Anxiety,Anxiolytic
Vitamin C SR,OTC,Injection,200 mg,Dr. Reddy's,Bacterial infection,Antibiotic
Vitamin D3 600 50,OTC,Ointment,600 IU,Torrent,Depression,Antiprotozoal
Enalapril 250 1004,OTC,Tablet,125 mg,Alembic,Infection,Supplement
Losartan 50 Plus,Prescription,Injection,50 mg,Zydus,Fever,Analgesic
Becosules 75,OTC,Injection,75 mg,Cipla Ltd,Bacterial infection,Corticosteroid
Becosules 500,Prescription,Syrup,400 mg,Glenmark,Vitamin deficiency,Diuretic
Crocin DS 1008,Prescription,Ointment,500 mg,Glenmark,Diabetes,Analgesic
B Complex 150 250,OTC,Ointment,150 mg,Novartis,Depression,Anxiolytic
Erythromycin 1000 Forte,OTC,Tablet,1000 mg,Glenmark,Fever,Antidepressant
Clopidogrel 2%,Prescription,Capsule,2%,Cipla Ltd,Clot prevention,Supplement
Amikacin 1000 50,Prescription,Drops,1000 IU,Zydus,Skin infection,Antacid
Hydralazine 75 Forte,OTC,Syrup,75 mg,Aurobindo,Edema,Antihyperlipidemic
Telmisartan 500,OTC,Capsule,1%,Torrent,Allergy,Corticosteroid
Rosuvastatin 50 XR,Prescription,Injection,50 mg,Alkem,Immunity booster,Anxiolytic
Zincovit 2% 500,OTC,Cream,2%,Merck,Infection,Corticosteroid
Diclofenac DS 1017,OTC,Drops,60000 IU,Glenmark,Skin infection,Antiprotozoal
Cefuroxime 250,OTC,Syrup,650 mg,Zydus,Anxiety,Antibiotic
Losartan XR 1019,OTC,Cream,250 mg,GlaxoSmithKline,Hypertension,Diuretic
Doxycycline 50 250,OTC,Ointment,50 mg,Sanofi,Throat infection,Antihistamine
Gentamicin 600 DS,OTC,Tablet,600 IU,Sanofi,Fever,Antiplatelet
Ramipril 500,Prescription,Drops,375 mg,Bayer,Hypertension,Anticoagulant
Calpol 75 SR,Prescription,Cream,75 mg,Zydus,Depression,Diuretic
Cefuroxime 250 50,Prescription,Tablet,250 mg,Glenmark,Hypertension,Diuretic
Cefuroxime Forte,OTC,Ointment,600 IU,Dr. Reddy's,Clot prevention,Anxiolytic
Prednisolone Plus 1026,OTC,Tablet,2%,Aurobindo,Skin infection,Antihistamine
Vitamin C 1% 500,Prescription,Syrup,1%,Torrent,Blood pressure,Supplement
Amlodipine SR 1028,Prescription,Injection,75 mg,Dr. Reddy's,Inflammation,Antihyperlipidemic
Vitamin D3 150 500,OTC,Drops,150 mg,Cipla,Respiratory infection,Anxiolytic
Ramipril 150 50,Prescription,Drops,150 mg,Dr. Reddy's,Pain relief,Antibiotic
Clarithromycin 75 500,Prescription,Cream,75 mg,Pfizer,Hypertension,Antidepressant
Loratadine 125 250,Prescription,Syrup,125 mg,Cipla Ltd,Allergy,Antidepressant
Amikacin 250 1033,Prescription,Syrup,100 mg,Bayer,Respiratory infection,Analgesic
Losartan XR 1034,OTC,Tablet,1000 mg,Intas,Inflammation,Anticoagulant
Furosemide Plus 1035,OTC,Injection,125 mg,Merck,Throat infection,Antacid
Diazepam SR 1036,OTC,Injection,100 mg,Cipla,Skin infection,Antiplatelet
Metoprolol 60000 1000,OTC,Ointment,60000 IU,Torrent,Diabetes,Antihyperlipidemic
Enalapril 50 50,Prescription,Tablet,50 mg,Sun Pharma,Hypertension,Anticoagulant
Ciprofloxacin SR 1039,OTC,Tablet,325 mg,Zydus,Bacterial infection,Antacid
Clopidogrel 50 1000,OTC,Cream,50 mg,Alembic,Blood pressure,Antidiabetic
Omeprazole 400 50,Prescription,Cream,400 mg,Aurobindo,Bacterial infection,Antihypertensive
Diclofenac 75 XR,OTC,Capsule,75 mg,Alembic,Heartburn,Antihyperlipidemic
Hydralazine 450 1000,Prescription,Tablet,450 mg,Aurobindo,Depression,Antacid
Metronidazole SR,Prescription,Drops,100 mg,Mankind,Blood pressure,Antihypertensive
Metformin Plus 1045,Prescription,Cream,2%,Novartis,Cold & Cough,Antihyperlipidemic
Hydrocortisone 650 SR 1046,OTC,Tablet,650 mg,Alkem,Diabetes,Antiplatelet
Losartan 1000,Prescription,Syrup,400 mg,Alkem,Hypertension,Diuretic
Propranolol 125 Forte,OTC,Injection,125 mg,Zydus,Diabetes,Antihyperlipidemic
Insulin 1000 Plus,Prescription,Drops,1000 mg,Intas,Anxiety,Antiplatelet
Becosules 75 50,Prescription,Capsule,75 mg,GlaxoSmithKline,Blood pressure,Antiplatelet
Hydralazine 150 250,OTC,Drops,150 mg,Mankind,Hypertension,Supplement
Diazepam Plus 1052,OTC,Drops,450 mg,Cipla Ltd,Throat infection,Anxiolytic
B Complex SR,Prescription,Syrup,450 mg,Pfizer,Bacterial infection,Anxiolytic
Hydrochlorothiazide Forte,Prescription,Ointment,100 mg,Glenmark,Infection,Antidepressant
Atorvastatin 100 XR,OTC,Tablet,100 mg,Alembic,Blood pressure,Antiprotozoal
Aspirin 1056,OTC,Injection,1%,Merck,Bacterial infection,Antidepressant
Naproxen 500 1000,OTC,Ointment,500 mg,Cipla,Throat infection,Anxiolytic
Sertraline DS 1058,OTC,Drops,75 mg,Novartis,Immunity booster,Antihyperlipidemic
Metformin 60000 DS,OTC,Injection,60000 IU,Merck,Skin infection,Antihyperlipidemic
Clopidogrel XR,OTC,Syrup,300 mg,Alembic,Clot prevention,Antacid
Zincovit 500 Forte 1061,Prescription,Drops,500 mg,Novartis,Pain relief,Antiprotozoal
B Complex 400 50,Prescription,Syrup,400 IU,Alembic,Respiratory infection,Antibiotic
Paracetamol 600 DS,OTC,Tablet,600 IU,Pfizer,Clot prevention,Antihypertensive
Atorvastatin 150 1000,Prescription,Tablet,150 mg,Mankind,Depression,Antihypertensive
Furosemide 450 250,OTC,Cream,450 mg,Alkem,Diabetes,Antidiabetic
Ofloxacin 500 1066,OTC,Syrup,450 mg,Torrent,Diabetes,Antihypertensive
Calpol,OTC,Capsule,650 mg,Torrent,Clot prevention,Antidepressant
Rabeprazole 1000 Plus,OTC,Syrup,1000 mg,Sanofi,Bacterial infection,Anxiolytic
Simvastatin 250,OTC,Capsule,125 mg,GlaxoSmithKline,Bacterial infection,Analgesic
Gentamicin 400 Forte 1070,OTC,Injection,400 mg,Merck,Anxiety,Antacid
Aspirin XR 1071,OTC,Capsule,300 mg,Alkem,Diabetes,Diuretic
Zincovit 650 Forte,OTC,Drops,650 mg,Novartis,Cold & Cough,Antihyperlipidemic
Ranitidine 150 50,OTC,Injection,150 mg,Sun Pharma,Depression,Antihypertensive
Simvastatin 250 SR,OTC,Injection,250 mg,Pfizer,Bacterial infection,Antacid
Diclofenac 650 Forte,Prescription,Drops,650 mg,Sun Pharma,Anxiety,Antibiotic
Becosules DS,OTC,Syrup,450 mg,Sun Pharma,Allergy,Analgesic
Paracetamol 400,Prescription,Syrup,400 mg,Cipla Ltd,Diabetes,Supplement
Levocetirizine 1% Plus,OTC,Tablet,1%,Cipla,Blood pressure,Corticosteroid
Enalapril SR 1079,Prescription,Capsule,450 mg,Alkem,Heartburn,Anticoagulant
Metronidazole XR,OTC,Tablet,600 IU,Intas,Heartburn,Antihypertensive
Cefuroxime 500 1081,Prescription,Syrup,0.50%,Merck,Heartburn,Antiplatelet
Loratadine 250 SR,Prescription,Ointment,250 mg,Aurobindo,Respiratory infection,Antiprotozoal
Clopidogrel 500 1083,OTC,Injection,125 mg,Pfizer,Bacterial infection,Antiprotozoal
Rosuvastatin 600 1000,OTC,Syrup,600 IU,Sun Pharma,Inflammation,Analgesic
Levosalbutamol 500 Forte,OTC,Capsule,500 mg,Bayer,Bacterial infection,Supplement
Fluoxetine 325 250,OTC,Capsule,325 mg,Intas,Heartburn,Anticoagulant
Diclofenac 60000,Prescription,Syrup,60000 IU,Abbott,Anxiety,Anxiolytic
Becosules 300 1000,OTC,Syrup,300 mg,Sun Pharma,Hypertension,Antiprotozoal
Becosules SR 1089,OTC,Ointment,75 mg,Torrent,Blood pressure,Antibiotic
Paracetamol 450 DS,Prescription,Drops,450 mg,Mankind,Throat infection,Antiprotozoal
Montelukast Plus 1091,OTC,Ointment,75 mg,GlaxoSmithKline,Immunity booster,Anxiolytic
Pantoprazole 50 Plus,OTC,Drops,50 mg,Sanofi,Depression,Diuretic
Salbutamol 750 50,Prescription,Capsule,750 mg,Intas,Skin infection,Antihyperlipidemic
Vitamin D3 650 Forte,Prescription,Tablet,650 mg,Merck,Allergy,Antidiabetic
Levocetirizine SR,OTC,Drops,1000 mg,Alembic,Fever,Antacid
Cetirizine 60000 SR,OTC,Tablet,60000 IU,Pfizer,Immunity booster,Antidiabetic
Valsartan 250 1097,OTC,Cream,150 mg,Zydus,Skin infection,Supplement
Ibuprofen 400 XR,OTC,Syrup,400 IU,Mankind,Cold & Cough,Analgesic
Levosalbutamol 0.5%,Prescription,Ointment,0.50%,Lupin,Heartburn,Antihyperlipidemic
Furosemide 600 50,Prescription,Capsule,600 IU,Abbott,Pain relief,Antiplatelet
Diclofenac 125 Plus,OTC,Tablet,125 mg,Aurobindo,Anxiety,Antibiotic
Warfarin 300 250,Prescription,Injection,300 mg,Mankind,Respiratory infection,Antidepressant
Calpol 2% Forte,OTC,Injection,2%,Dr. Reddy's,Diabetes,Antihypertensive
Amlodipine 400 Plus,OTC,Tablet,400 mg,Cipla Ltd,Hypertension,Antihyperlipidemic
Vitamin C 1000,OTC,Drops,200 mg,Alembic,Cold & Cough,Diuretic
Calpol DS,Prescription,Syrup,1000 IU,Lupin,Fever,Diuretic
Simvastatin 150 SR,Prescription,Injection,150 mg,Merck,Infection,Antibiotic
Diazepam 1% 250,Prescription,Capsule,1%,Dr. Reddy's,Skin infection,Antihistamine
Doxycycline 500 1109,Prescription,Capsule,650 mg,Abbott,Skin infection,Supplement
Fluoxetine 1000 500,OTC,Injection,1000 mg,Lupin,Inflammation,Anxiolytic
Hydrocortisone 1000,OTC,Syrup,300 mg,Cipla,Heartburn,Diuretic
Ibuprofen DS,OTC,Syrup,150 mg,GlaxoSmithKline,Hypertension,Antacid
B Complex SR 1113,Prescription,Capsule,60000 IU,Torrent,Immunity booster,Analgesic
Amikacin 150 SR,OTC,Drops,150 mg,Pfizer,Respiratory infection,Analgesic
Diclofenac 100 XR,OTC,Tablet,100 mg,Mankind,Respiratory infection,Antihyperlipidemic
Atorvastatin 650 Forte,OTC,Injection,650 mg,Mankind,Bacterial infection,Anxiolytic
Rosuvastatin 400 Plus,OTC,Syrup,400 mg,Zydus,Hypertension,Analgesic
Hydrochlorothiazide 200,OTC,Injection,200 mg,Pfizer,Edema,Antiplatelet
Cefuroxime 60000 Plus,OTC,Injection,60000 IU,Dr. Reddy's,Depression,Antibiotic
Insulin 250,Prescription,Cream,0.50%,Sun Pharma,Immunity booster,Supplement
Levocetirizine 1000 1121,Prescription,Injection,100 mg,Glenmark,Skin infection,Diuretic
Metronidazole SR 1122,OTC,Syrup,450 mg,Zydus,Diabetes,Antibiotic
Clopidogrel 400 50,Prescription,Capsule,400 mg,Aurobindo,Diabetes,Antibiotic
Ciprofloxacin 375 50,OTC,Drops,375 mg,Sun Pharma,Immunity booster,Antacid
Atorvastatin 1000 50,Prescription,Tablet,1000 mg,Alembic,Fever,Antihistamine
Erythromycin 2% Plus,Prescription,Drops,2%,GlaxoSmithKline,Hypertension,Anxiolytic
Naproxen 125 XR,OTC,Tablet,125 mg,Intas,Skin infection,Antidiabetic
Omnacortil,OTC,Drops,150 mg,Lupin,Immunity booster,Antiprotozoal
Ciprofloxacin SR 1129,Prescription,Injection,200 mg,Mankind,Vitamin deficiency,Antacid
Clopidogrel 2000 50,Prescription,Capsule,2000 IU,Torrent,Cold & Cough,Anticoagulant
Metformin 1000 SR,OTC,Capsule,1000 mg,Alembic,Blood pressure,Diuretic
Rabeprazole 750 XR,Prescription,Capsule,750 mg,Lupin,Depression,Anticoagulant
Clopidogrel DS,Prescription,Syrup,200 mg,Merck,Depression,Corticosteroid
Hydrochlorothiazide 500 1134,Prescription,Tablet,150 mg,GlaxoSmithKline,Anxiety,Supplement
Hydrocortisone 600 50,Prescription,Syrup,600 IU,Lupin,Throat infection,Antiplatelet
Vitamin D3 Plus,OTC,Drops,400 IU,Abbott,Blood pressure,Analgesic
Pantoprazole 200 XR,OTC,Capsule,200 mg,Sanofi,Edema,Antidepressant
Atorvastatin 750 DS,OTC,Drops,750 mg,Zydus,Skin infection,Corticosteroid
Vitamin C 100 Forte,Prescription,Capsule,100 mg,Merck,Diabetes,Antacid
B Complex 1000 1140,OTC,Syrup,1000 mg,Intas,Pain relief,Anticoagulant
Gentamicin 250 1141,Prescription,Capsule,450 mg,Sun Pharma,Heartburn,Diuretic
Ibuprofen 200 250,OTC,Syrup,200 mg,Sanofi,Infection,Antacid
Enalapril 60000 500,Prescription,Capsule,60000 IU,Sun Pharma,Infection,Antiprotozoal
Telmisartan 375 250,Prescription,Injection,375 mg,Merck,Clot prevention,Antiplatelet
Diclofenac 1% SR,Prescription,Ointment,1%,Cipla,Blood pressure,Corticosteroid
Telmisartan 150 50,Prescription,Tablet,150 mg,Mankind,Edema,Antiprotozoal
Pantoprazole 500,Prescription,Syrup,400 IU,Novartis,Fever,Antidiabetic
Rosuvastatin 125 SR 1148,OTC,Injection,125 mg,Aurobindo,Allergy,Anticoagulant
Metronidazole Forte,OTC,Syrup,250 mg,GlaxoSmithKline,Fever,Antacid
Telmisartan Plus,Prescription,Injection,125 mg,Pfizer,Respiratory infection,Antihistamine
Bisoprolol 400 1000,OTC,Injection,400 mg,Pfizer,Respiratory infection,Antihyperlipidemic
Fluoxetine 650 50,Prescription,Drops,650 mg,Alembic,Cold & Cough,Antiprotozoal
Telmisartan 0.5% XR,OTC,Cream,0.50%,Pfizer,Diabetes,Antidiabetic
Amikacin 50,OTC,Drops,0.50%,Alembic,Throat infection,Antihypertensive
Dolo 125 500,Prescription,Tablet,125 mg,GlaxoSmithKline,Edema,Supplement
Valsartan 250 1156,Prescription,Syrup,450 mg,Alkem,Anxiety,Diuretic
Telmisartan 250,Prescription,Tablet,50 mg,Cipla,Fever,Antihyperlipidemic
Levosalbutamol DS 1158,Prescription,Syrup,60000 IU,Dr. Reddy's,Inflammation,Supplement
Crocin 1000 1159,Prescription,Ointment,0.50%,Sun Pharma,Inflammation,Supplement
Omeprazole 0.5% 250,Prescription,Cream,0.50%,Dr. Reddy's,Throat infection,Antihypertensive
Amlodipine SR 1161,Prescription,Ointment,500 mg,Aurobindo,Allergy,Antihistamine
Ciprofloxacin 650 XR,OTC,Tablet,650 mg,Cipla Ltd,Blood pressure,Antiprotozoal
Rabeprazole XR 1163,OTC,Injection,50 mg,GlaxoSmithKline,Allergy,Antihypertensive
Cefixime Forte 1164,Prescription,Ointment,300 mg,Alkem,Pain relief,Antacid
Atorvastatin 125 SR,OTC,Tablet,125 mg,Mankind,Anxiety,Antacid
Telmisartan SR,OTC,Injection,1000 mg,Zydus,Clot prevention,Corticosteroid
Ibuprofen 100 250,Prescription,Injection,100 mg,Glenmark,Edema,Corticosteroid
Cetirizine SR 1168,OTC,Tablet,200 mg,Glenmark,Respiratory infection,Antidiabetic
Montelukast 200 50,Prescription,Tablet,200 mg,Torrent,Cold & Cough,Analgesic
Sertraline 150,Prescription,Tablet,150 mg,Torrent,Fever,Antihistamine
Omeprazole 150 Forte,Prescription,Capsule,150 mg,Lupin,Respiratory infection,Anxiolytic
Fluoxetine 1000 Plus,Prescription,Capsule,1000 mg,Alkem,Allergy,Antihypertensive
Naproxen 0.5% Plus,Prescription,Capsule,0.50%,Torrent,Clot prevention,Supplement
Hydrochlorothiazide 500 1174,OTC,Cream,325 mg,Sanofi,Throat infection,Antihypertensive
Diazepam 100 DS,OTC,Cream,100 mg,Alkem,Inflammation,Supplement
Calpol 60000 50,OTC,Tablet,60000 IU,Dr. Reddy's,Vitamin deficiency,Supplement
Levosalbutamol 100 SR,Prescription,Syrup,100 mg,Mankind,Vitamin deficiency,Antibiotic
Paracetamol 400 DS,Prescription,Capsule,400 mg,Aurobindo,Infection,Supplement
Calpol 250 50,Prescription,Drops,250 mg,Cipla Ltd,Infection,Anticoagulant
Telmisartan 650 250,Prescription,Capsule,650 mg,Torrent,Pain relief,Corticosteroid
Aspirin 325 500,OTC,Injection,325 mg,Dr. Reddy's,Cold & Cough,Antihistamine
Omnacortil 50 250,OTC,Injection,50 mg,Alembic,Hypertension,Diuretic
Pantoprazole 75 250,OTC,Tablet,75 mg,Merck,Diabetes,Diuretic
Propranolol 325 250,Prescription,Injection,325 mg,Lupin,Blood pressure,Corticosteroid
Doxycycline 500 500,Prescription,Injection,500 mg,Zydus,Respiratory infection,Anticoagulant
Amlodipine 50,Prescription,Ointment,50 mg,Pfizer,Immunity booster,Antihyperlipidemic
Atorvastatin Forte,OTC,Drops,450 mg,Sun Pharma,Depression,Antiprotozoal
Levosalbutamol 375,Prescription,Drops,375 mg,Cipla Ltd,Skin infection,Antacid
Diclofenac 2% SR,OTC,Syrup,2%,Mankind,Inflammation,Antiprotozoal
Ramipril 125 250,OTC,Cream,125 mg,Merck,Clot prevention,Antacid
Doxycycline 500 1191,OTC,Syrup,325 mg,Aurobindo,Immunity booster,Antidepressant
Cefixime Forte 1192,OTC,Capsule,100 mg,Cipla,Heartburn,Antidiabetic
Metoprolol 125 250,Prescription,Ointment,125 mg,Alembic,Edema,Antidepressant
Pantoprazole 150 1000,Prescription,Injection,150 mg,Bayer,Cold & Cough,Antiplatelet
Ranitidine 325 250,Prescription,Ointment,325 mg,Intas,Diabetes,Antihyperlipidemic
B Complex 300 XR,Prescription,Capsule,300 mg,Alkem,Fever,Antidiabetic
Ofloxacin 325 1000,OTC,Syrup,325 mg,Pfizer,Heartburn,Antihyperlipidemic
Prednisolone 400 1000,Prescription,Syrup,400 mg,Zydus,Pain relief,Antidepressant
Metronidazole 250 250,Prescription,Cream,250 mg,Cipla Ltd,Clot prevention,Antiplatelet
Vitamin C XR 1200,OTC,Tablet,300 mg,Sun Pharma,Pain relief,Anticoagulant
Becosules 125 Forte,Prescription,Injection,125 mg,Sanofi,Diabetes,Antihypertensive
Loratadine Plus,Prescription,Drops,200 mg,Alembic,Cold & Cough,Antacid
Loratadine,OTC,Capsule,1000 mg,Glenmark,Infection,Antihyperlipidemic
Levocetirizine DS,Prescription,Injection,600 IU,Glenmark,Fever,Antihyperlipidemic
Rabeprazole Plus,OTC,Cream,600 IU,GlaxoSmithKline,Clot prevention,Anticoagulant
Paracetamol 2000 500,OTC,Cream,2000 IU,Alembic,Immunity booster,Antiplatelet
Warfarin 125 SR,Prescription,Injection,125 mg,Merck,Respiratory infection,Antiplatelet
Zincovit 750 500,Prescription,Syrup,750 mg,Glenmark,Bacterial infection,Corticosteroid
Ofloxacin 50 1209,OTC,Capsule,325 mg,Pfizer,Immunity booster,Antidepressant
Pantoprazole 300 DS,Prescription,Syrup,300 mg,Torrent,Infection,Antihypertensive
